s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
170.3001156,89620.4497359,43177.8429162,0.5618034,-0.1829295,7.5747350,-0.2664572
171.2957315,89619.9955151,43178.7288814,0.3741786,-0.2037731,7.5395096,-0.2664572
172.2713340,89619.7328813,43179.6684684,0.1924178,-0.1685283,7.5041188,2.8244510
173.2214456,89619.6284695,43180.6128255,0.0305771,-0.1574235,7.8711696,1.9852177
174.2308978,89619.6731512,43181.6212883,-0.1268179,-0.1620066,8.1192337,0.9766863
175.2487133,89619.8840090,43182.6170229,-0.2830026,-0.1508109,8.2385353,1.4400659
176.2334687,89620.2307535,43183.5387124,-0.4240795,-0.1265890,8.4113523,2.7841475
177.2479064,89620.7049932,43184.4354735,-0.5445397,-0.1152033,8.7357787,2.9258620
178.2558204,89621.2766025,43185.2656262,-0.6598067,-0.1147639,9.0642136,2.1794046
179.2451546,89621.9272233,43186.0109280,-0.7761070,-0.1167075,9.3013234,1.4729762
180.2459249,89622.6683316,43186.6834602,-0.8916857,-0.1154842,9.4582112,1.2258968
181.2466345,89623.4820358,43187.2659593,-1.0050528,-0.1124202,9.5868249,0.2990544
182.2343518,89624.3443190,43187.7476782,-1.1177872,-0.1123564,9.6179390,-2.0442994
183.2387406,89625.2704002,43188.1364847,-1.2327119,-0.1161487,9.4031938,-2.0885302
184.2611045,89626.2530271,43188.4187477,-1.3524957,-0.1156614,9.1786153,-1.9922258
185.3225280,89627.3010380,43188.5869528,-1.4656506,-0.1065680,8.9591478,-3.9608895
186.3354047,89628.3127208,43188.6361174,-1.5760819,-0.1174818,8.5060044,-0.3360035
187.2516007,89629.2269928,43188.5767730,-1.7191758,-0.1624944,8.4664482,-0.3360035
188.2788887,89630.2288692,43188.3496952,-1.8657379,-0.1496970,8.4267064,0.2046691
189.2407309,89631.1249556,43188.0001674,-1.9615805,-0.0406714,8.4509365,4.9652266
190.1688816,89631.9760541,43187.6299041,-2.0014715,-0.0411198,9.0188305,4.9187220
191.1576307,89632.8664740,43187.2000469,-2.0674983,-0.0867039,9.5481600,3.6158302
192.2400677,89633.7951237,43186.6439177,-2.1592881,-0.1007559,9.9192801,0.2598809
193.2105916,89634.5718055,43186.0619538,-2.2441314,-0.0599347,9.9454202,4.8363529
194.2210427,89635.3430615,43185.4091325,-2.2837709,-0.0207784,10.4199260,4.7910554
195.2366338,89636.1042587,43184.7368200,-2.2874007,0.0129438,10.8695825,1.4399711
196.2978494,89636.9090224,43184.0450585,-2.2651034,0.0306140,11.0011371,-8.0474213
197.3250739,89637.7090142,43183.4006958,-2.2287444,0.0427833,10.2442928,-6.5402531
