# traj_defense_25kmh.csv (2026-08-10生成、v2)
# ゆるいコーナー17区間へイン側バイアス(基準1.02m x 採用振幅0.40=0.408m)、
# Laplacian平滑化(alpha=0.15, passes=6)で不連続を除去。
# タイトコーナー2箇所(wp224-230, wp247-257)のcore+-1ptは完全に原形保持(変位0)。
# kaleidoscope.trajectory_clearance(実occupancy_grid_map.yaml+実車体寸法+
# margin[L/R]0.5m,[F/R]0.2m)でclearance検証済み(min_clearance=0.60m)。
# 経緯はdesign_docs opp_lat_pred_overlap_guard_design_20260806.md §47系参照(記録予定)。
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
171.2250231,89620.1002047,43180.6464072,0.0302101,-0.1769792,7.8711696,1.9852177
172.1458261,89620.1453737,43181.5661017,-0.1272990,-0.1673805,8.1192337,0.9766863
173.0795750,89620.3349403,43182.4804055,-0.2780848,-0.1573671,8.2385353,1.4400659
174.0147197,89620.6570235,43183.3583337,-0.4176119,-0.1391552,8.4113523,2.7841475
174.9624708,89621.0969628,43184.1977893,-0.5421997,-0.1251486,8.7357787,2.9258620
175.9124075,89621.6345436,43184.9809792,-0.6594361,-0.1225486,9.0642136,2.1794046
176.8567575,89622.2555817,43185.6923924,-0.7757124,-0.1226948,9.3013234,1.4729762
177.8022599,89622.9556399,43186.3279183,-0.8909567,-0.1210619,9.4582112,1.2258968
178.7480078,89623.7239456,43186.8794122,-1.0050399,-0.1202220,9.5868249,0.2990544
179.6927457,89624.5489783,43187.3396847,-1.1196020,-0.1208217,9.6179390,-2.0442994
180.6470376,89625.4301199,43187.7061031,-1.2355353,-0.1211399,9.4031938,-2.0885302
181.6177494,89626.3637149,43187.9719639,-1.3508842,-0.1173194,9.1786153,-1.9922258
182.5976981,89627.3306838,43188.1309307,-1.4624000,-0.1148755,8.9591478,-3.9608895
183.5468346,89628.2785334,43188.1803399,-1.5727927,-0.1182076,8.5060044,-0.3360035
184.4613376,89629.1914920,43188.1272158,-1.6647329,-0.0758832,8.4664482,-0.3360035
185.4050372,89630.1273940,43188.0061517,-1.7129984,-0.0284577,8.4267064,0.2046691
186.3580631,89631.0689016,43187.8584300,-1.8515671,-0.2667888,8.4509365,4.9652266
187.2937406,89631.9276846,43187.4869676,-2.0983125,-0.2407688,9.0188305,4.9187220
188.2821537,89632.7202523,43186.8963773,-2.1960162,0.0301399,9.5481600,3.6158302
189.2892130,89633.5454995,43186.3191985,-2.1544150,0.0540299,9.9192801,0.2598809
190.2776361,89634.3848256,43185.7971719,-2.0981628,0.0572840,9.9454202,4.8363529
191.2915013,89635.2750363,43185.3119425,-2.1310418,-0.1197594,10.4199260,4.7910554
192.3127992,89636.1056592,43184.7177076,-2.2142846,-0.0435453,10.8695825,1.4399711
193.3459113,89636.9181691,43184.0796259,-2.1962174,0.0798540,11.0011371,-8.0474213
194.3551135,89637.7600209,43183.5230518,-2.0795996,0.1530751,10.2442928,-6.5402531
195.3387578,89638.6535102,43183.1116724,-2.0187699,-0.0343414,9.5852758,-2.8685690
196.2990252,89639.5118764,43182.6811832,-2.0220612,0.0292789,9.2814789,-1.1043517
197.2279519,89640.3534263,43182.2878659,-1.9560238,0.1141912,9.1618369,-0.9515133
198.1379290,89641.2136628,43181.9911311,-1.8365732,0.1439148,9.0574855,-0.4841342
199.0598535,89642.1171643,43181.8077467,-1.7009691,0.1485711,9.0039269,-0.3764927
200.0024367,89643.0579578,43181.7496888,-1.5632638,0.1485660,8.9620552,-0.3764927
200.9328079,89643.9855286,43181.8218204,-1.4269868,0.1399413,8.9199869,1.5929067
201.8782535,89644.9104091,43182.0179408,-1.3027656,0.1225308,9.0966444,1.8653287
202.8419631,89645.8233654,43182.3265623,-1.1994366,0.0938501,9.2992493,1.1704995
203.8085681,89646.7072977,43182.7177001,-1.1464862,0.0156951,9.4241605,3.9281299
204.7913869,89647.5998680,43183.1291013,-1.1608423,-0.0434835,9.8317630,4.8468895
205.8004988,89648.5337471,43183.5114322,-1.1156224,0.1323075,10.3125211,4.8014933
206.8063465,89649.4056496,43184.0129454,-1.0109941,0.0758804,10.7676327,4.7565223
207.8029952,89650.2293580,43184.5740276,-0.9726958,0.0002586,11.2002625,-6.4585389
208.7845342,89651.0404371,43185.1268109,-0.9917775,-0.0393428,10.6085404,-5.6267136
209.7610454,89651.8679419,43185.6452797,-1.0424229,-0.0631390,10.0647127,-5.0611689
210.7534856,89652.7400577,43186.1189374,-1.1112583,-0.0746607,9.5491237,-4.8863368
211.7712464,89653.6683312,43186.5362447,-1.1892062,-0.0803080,9.0234371,-5.9431624
212.7893220,89654.6278849,43186.8764426,-1.2760881,-0.0913602,8.3395105,-5.7390044
213.7960432,89655.6037598,43187.1237392,-1.3786641,-0.1144375,7.6210486,-1.9965704
214.7751636,89656.5740377,43187.2550313,-1.5027867,-0.1374480,7.3546619,-1.6516172
215.7419068,89657.5407807,43187.2556787,-1.6387280,-0.1415323,7.1267784,-0.3252600
216.7105557,89658.5004330,43187.1239664,-1.7591466,-0.1066614,7.0810360,-9.5329343
217.6842744,89659.4462355,43186.8924806,-1.9284391,-0.2395094,5.5761454,-0.1443979
218.6641084,89660.3178116,43186.4447866,-2.1442165,-0.1991597,5.5502142,-0.1443979
219.6557051,89661.0943395,43185.8281276,-2.3440903,-0.1976053,5.5241613,5.1569546
220.6877529,89661.7587076,43185.0383569,-2.5226185,-0.1470881,6.3890863,5.1086543
221.7797772,89662.3229640,43184.1034068,-2.6873116,-0.1653994,7.1433872,-2.5103702
222.8511550,89662.7042382,43183.1021673,-2.8580225,-0.1737787,6.7832170,-1.6593330
223.7740701,89662.8788505,43182.1959208,-3.0764703,-0.2587992,6.5342584,-0.1982829
224.7392543,89662.8261890,43181.2321743,2.9707198,-0.2419138,6.5038716,-0.1982829
225.6984621,89662.5538456,43180.3124413,2.7909905,-0.1313427,6.4733422,5.1035743
226.6528450,89662.1702394,43179.4385461,2.6745601,-0.1061072,7.2181415,3.9034038
227.6588243,89661.6724083,43178.5643844,2.5506316,-0.1465287,7.7395687,0.6111624
228.6580527,89661.0560373,43177.7779086,2.4065518,-0.1399529,7.8180612,3.7068710
229.6619988,89660.3323480,43177.0820770,2.2762202,-0.1180116,8.2782092,4.4185473
230.6841938,89659.5162198,43176.4665956,2.1613774,-0.1079174,8.7953061,3.3383395
231.7135165,89658.6309341,43175.9414533,2.0542369,-0.1024692,9.1666633,2.4154000
232.7271445,89657.7098681,43175.5182758,1.9563258,-0.0915147,9.4262350,3.2937922
233.7135291,89656.7796642,43175.1901366,1.8752312,-0.0708896,9.7690943,4.4320610
234.6922366,89655.8362751,43174.9295888,1.8217332,-0.0376650,10.2122899,4.8111366
235.6760473,89654.8789363,43174.7029038,1.8048528,0.0031664,10.6725796,4.7660752
236.6563904,89653.9256790,43174.4740525,1.8237561,0.0356183,11.1097709,3.9490981
237.6303218,89652.9871413,43174.2138803,1.8620514,0.0418865,11.4593921,-6.0598767
238.6250964,89652.0402873,43173.9088494,1.8983179,0.0310481,10.9183094,-8.8233541
239.6471910,89651.0777177,43173.5651384,1.9227576,0.0175583,10.0786712,-8.8801923
240.6719076,89650.1190265,43173.2032611,1.9577351,0.0511972,9.1562098,-6.8376105
241.6876392,89649.1887673,43172.7954272,2.0231806,0.0793140,8.3769928,-4.1918301
242.6761458,89648.3178235,43172.3278780,2.1321344,0.1301266,7.8611926,-4.1553060
243.7306265,89647.4631094,43171.7103075,2.2730500,0.1486861,7.3140734,-3.7659384
244.7593840,89646.7322783,43170.9862716,2.4167394,0.1450539,6.7801903,-5.2978539
245.6579375,89646.1883635,43170.2710408,2.6070400,0.2361457,5.9485616,-0.1643299
246.6349708,89645.7826147,43169.3822428,2.8247199,0.2240330,5.9208985,-0.1643299
247.6272788,89645.5784675,43168.4111614,3.0637460,0.2729883,5.8931055,4.5238641
248.5723895,89645.6332675,43167.4676407,-2.9971864,0.1662446,6.6157226,4.7354941
249.6104228,89645.8628828,43166.4553216,-2.8295264,0.1787042,7.2958711,2.1522364
250.6053809,89646.2548694,43165.5408337,-2.6585185,0.1585978,7.5848599,2.4980708
251.5895629,89646.7793660,43164.7080568,-2.5324077,0.0909309,7.9070521,5.0069306
252.6257811,89647.4097216,43163.8856213,-2.4561261,0.0643098,8.5162068,4.9600354
253.6058843,89648.0550962,43163.1479941,-2.4018038,0.0421582,9.0794483,4.9135795
254.6018999,89648.7415976,43162.4263550,-2.3465687,0.0689384,9.6049030,4.8675586
255.6047368,89649.4811908,43161.7490931,-2.2686199,0.0880377,10.0985141,1.8933892
256.5951387,89650.2674314,43161.1468294,-2.1749901,0.0997045,10.2841214,-1.3280930
257.5871009,89651.1106050,43160.6242902,-2.0741110,0.1031407,10.1542849,-1.6061146
258.5850091,89652.0082392,43160.1883157,-1.9712845,0.1041041,9.9950156,-1.5614249
259.5768111,89652.9404127,43159.8496067,-1.8682003,0.1026781,9.8377064,-2.5420407
260.5720653,89653.9055915,43159.6067884,-1.7668767,0.0996775,9.5760764,-3.4190396
261.5825656,89654.9052736,43159.4593213,-1.6669661,0.0975476,9.2124744,-3.9461265
262.6131755,89655.9347520,43159.4110406,-1.5675259,0.0971017,8.7741076,-4.8372635
263.6453583,89656.9654674,43159.4660591,-1.4632455,0.1089783,8.2048565,-4.9564268
264.6399771,89657.9467692,43159.6282730,-1.3381338,0.1423834,7.5773529,-0.2666414
265.6061699,89658.8687946,43159.9170594,-1.1885924,0.1601273,7.5421153,-0.2666414
266.5877928,89659.7485379,43160.3525307,-1.0464023,0.1358551,7.5067123,1.7476310
267.5404347,89660.5395312,43160.8834320,-0.9175885,0.1305856,7.7358035,-2.4451999
268.4906947,89661.2567866,43161.5067609,-0.7927584,0.1280520,7.4132937,-0.2552202
269.4676165,89661.9096331,43162.2335122,-0.6622387,0.1439172,7.3788190,-0.2552202
270.4346249,89662.4491508,43163.0360245,-0.5420358,0.0991146,7.3441825,5.0471702
271.4400517,89662.9259595,43163.9212004,-0.4767885,0.0328844,8.0013576,4.9998982
